1155.1,2019-09-19 03:10:00
1155.1,2019-09-19 03:10:01
1155.1,2019-09-19 03:10:01
1155.1,2019-09-19 03:10:02
1155.2,2019-09-19 03:10:04
1155.2,2019-09-19 03:10:04
1155.2,2019-09-19 03:10:05
1155.2,2019-09-19 03:10:06
1155.2,2019-09-19 03:10:07
1155.2,2019-09-19 03:10:08
1155.2,2019-09-19 03:10:09
1155.2,2019-09-19 03:10:10
1155.2,2019-09-19 03:10:12
1155.8,2019-09-19 03:10:14
1155.2,2019-09-19 03:10:14
1155.2,2019-09-19 03:10:15
1155.2,2019-09-19 03:10:16
1155.2,2019-09-19 03:10:17
1155.2,2019-09-19 03:10:19
1155.2,2019-09-19 03:10:20
1155.2,2019-09-19 03:10:21
1155.2,2019-09-19 03:10:22
1155.2,2019-09-19 03:10:22
1155.2,2019-09-19 03:10:23
1155.15,2019-09-19 03:10:24
1155.15,2019-09-19 03:10:24
1155.15,2019-09-19 03:10:25
1155.15,2019-09-19 03:10:26
1155.15,2019-09-19 03:10:26
1155.15,2019-09-19 03:10:27
1155.15,2019-09-19 03:10:28
1155.15,2019-09-19 03:10:29
1155.15,2019-09-19 03:10:30
1155.15,2019-09-19 03:10:30
1155.15,2019-09-19 03:10:31
1155.15,2019-09-19 03:10:32
1155.15,2019-09-19 03:10:33
1155.15,2019-09-19 03:10:34
1155.15,2019-09-19 03:10:34
1155.15,2019-09-19 03:10:36
1154.1,2019-09-19 03:10:36
1154.1,2019-09-19 03:10:37
1154.1,2019-09-19 03:10:39
1154.1,2019-09-19 03:10:40
1154.45,2019-09-19 03:10:40
1154.4,2019-09-19 03:10:41
1154.4,2019-09-19 03:10:42
1154.4,2019-09-19 03:10:42
1154.4,2019-09-19 03:10:43
1154.4,2019-09-19 03:10:44
1154.4,2019-09-19 03:10:45
1154.4,2019-09-19 03:10:45
1154.4,2019-09-19 03:10:46
1154.4,2019-09-19 03:10:46
1154.55,2019-09-19 03:10:47
1154.55,2019-09-19 03:10:48
